Sample,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,
TZ114,48,0.607594937,0.486442782,-0.010699109,0.417840376,0.923789174,0.397435897,0.221839397,0.035212247,1,0.004716981,0,0.004673,0.002622041,28.51357445,3.315870834,27.54637186,0.412296414,0.450617695,0.233835095
TZ115,56,0.708860759,0.470245713,-0.009459898,0.169014085,0.951048951,0.294871795,0.255864524,0.035628136,1,0.004716981,0,0.004673,0.004868497,24.8308239,3.290881713,26.86654179,0.402121154,0.502216913,0.198765146
TZ116,57,0.721518987,1.278496394,0.004885902,0.14084507,0.767399267,0.282051282,0.119182968,0.035034652,1,0.004716981,0.070052539,0.004673,0.013607687,14.88741357,3.7925566,44.36969095,0.664097057,0.596079165,0.123240126
TZ15,15,0.189873418,0.046074191,-0.063595054,0.995305164,0.923076923,0.820512821,0.259927043,0.00387797,1,0.004716981,0,0.004673,0.000692067,23.47309043,2.623521756,13.78418274,0.2063128,0.197375193,0.154726319
TZ17,34,0.430379747,0.140172987,-0.02528903,0.769953052,0.889423077,0.576923077,0.182956335,0.007089551,1,0.004716981,0,0.004673,0.002154957,23.28367985,3.295051292,26.97879782,0.40380133,0.499087634,0.135485388
TZ18,38,0.481012658,0.96832917,-0.000833443,0.671361502,0.971400394,0.525641026,0.345306507,0.188812653,1,0.004716981,0,0.004673,0.003440239,13.55857644,2.752353325,15.67948743,0.234680504,0.397330856,0.405469399
TZ19,29,0.367088608,0.088705007,-0.031423965,0.882629108,0.824786325,0.641025641,0.17642046,0.003729228,1,0.004716981,0,0.004673,0.00127452,37.03890849,3.252129267,25.84531295,0.386836056,0.483296683,0.106097468
TZ2,38,0.481012658,0.295615025,-0.018536447,0.694835681,0.895833333,0.525641026,0.179508487,0.017854043,1,0.004716981,0,0.004673,0.001816674,31.95301005,3.388080918,29.60907548,0.443169638,0.478703767,0.192824561
TZ20,52,0.658227848,0.864463992,-0.002606462,0.281690141,0.95541958,0.346153846,0.245942179,0.093030533,1,0.004716981,0,0.004673,0.003725204,23.04623805,3.300042863,27.11380107,0.405821972,0.441455739,0.275597664
TZ22,38,0.481012658,0.238117318,-0.020049544,0.680751174,0.961538462,0.525641026,0.293819612,0.022466141,1,0.004716981,0,0.004673,0.002920948,20.25009821,2.94718842,19.05231126,0.285162767,0.410662902,0.236681186
TZ23,33,0.417721519,0.169374391,-0.025170473,0.812206573,0.930966469,0.58974359,0.214103834,0.012553275,1,0.004716981,0,0.004673,0.002223085,20.2655064,3.172502314,23.86713276,0.357227925,0.47642251,0.167565071
TZ24,31,0.392405063,0.146073632,-0.027546012,0.849765258,0.963461538,0.615384615,0.300311288,0.013540165,1,0.004716981,0,0.004673,0.002208225,19.27261452,2.863399909,17.52099557,0.262243016,0.411092767,0.20238651
TZ29,62,0.784810127,0.728608293,-0.004377286,0.061032864,0.860482655,0.217948718,0.136939989,0.031395662,1,0.004716981,0,0.004673,0.004087793,30.5426077,3.788765586,44.20180324,0.661584222,0.557646295,0.162559518
TZ3,47,0.594936709,0.376281057,-0.013270616,0.431924883,0.950091575,0.41025641,0.24246156,0.029475822,1,0.004716981,0,0.004673,0.003183642,25.27670165,3.276569754,26.48476744,0.396407001,0.492737785,0.205137228
TZ31,32,0.405063291,0.366497907,-0.01979694,0.821596244,0.976569408,0.602564103,0.477607014,0.092742161,1,0.004716981,0,0.004673,0.004833197,11.87095137,2.075878095,7.97154316,0.119312942,0.25387399,0.431975432
TZ32,51,0.64556962,0.205481482,-0.015578794,0.314553991,0.876068376,0.358974359,0.143821619,0.006542906,1,0.004716981,0,0.004673,0.003512493,31.38452267,3.669922206,39.24885242,0.587451633,0.63681324,0.077631799
